food_id,food_name,serving_basis,serving_size_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,sugar_g,calcium_mg,iron_mg,zinc_mg,magnesium_mg,potassium_mg,sodium_mg,vitamin_c_mg,vitamin_a_mg,vitamin_d_mg,vitamin_b12_mg,folate_mg
SL0013,Black Coffee,1 cup,201,94.6,8.2,4.6,55.6,3.1,3.0,279.8,5.1,2.5,143.1,116.2,308.4,88.1,263.6,1.6,1.9,102.8
SL0014,White Rice,100g,235,145.5,10.3,15.8,50.4,2.3,12.0,147.3,6.8,2.6,117.9,206.5,243.9,62.1,306.5,3.6,0.2,21.6
SL0015,Plain Hopper,1 piece,161,115.4,8.8,19.2,10.9,14.1,0.1,77.9,3.3,2.6,136.5,200.1,361.4,36.1,302.8,8.9,4.4,274.0
SL0016,Fried Egg,100g,97,242.9,24.6,15.5,5.2,10.9,9.7,284.6,1.7,4.8,25.6,38.3,319.9,21.7,875.5,5.2,1.7,202.6
SL0017,Grilled Fish,1 cup,142,324.1,9.3,9.9,29.2,14.6,13.6,194.1,2.0,0.2,12.8,154.1,6.8,50.7,198.3,8.6,3.9,28.8
SL0018,Vegetable Samosa,100g,179,309.3,13.4,9.2,29.0,4.3,11.8,47.8,1.4,0.5,107.6,371.1,188.0,112.5,404.3,2.3,0.3,149.2
SL0019,Egg Paratha,100g,142,34.3,8.4,2.1,10.1,14.2,6.0,88.4,4.9,1.7,85.3,343.2,349.9,23.3,187.1,4.4,4.4,85.5
SL0020,Dhal Curry,1 cup,114,141.3,26.7,23.5,4.6,0.8,5.9,203.5,6.3,1.0,92.1,241.8,78.1,92.9,841.3,2.1,3.2,195.2
SL0021,Greek-style Yogurt,1 cup,160,30.4,9.3,14.1,4.7,0.5,3.9,265.9,2.7,2.9,37.3,184.9,67.5,85.1,623.0,6.9,3.0,278.1
SL0022,Potato Curry,100g,248,64.3,7.8,14.6,19.8,2.1,13.4,247.5,7.0,0.8,67.2,330.7,276.0,24.1,723.8,7.2,3.9,78.6
SL0023,Omelette,100g,173,190.2,21.9,8.2,42.3,8.5,0.2,43.8,3.9,3.8,12.3,483.3,261.5,71.0,509.1,1.7,2.9,88.6
SL0024,Fresh Coconut,1 piece,127,42.9,13.1,7.8,55.4,7.7,13.4,57.6,4.1,3.2,92.0,218.2,11.4,83.6,895.7,7.3,0.7,237.1
SL0025,Green Gram,1 cup,239,34.6,6.4,19.9,40.1,0.5,17.1,109.0,5.5,1.4,127.3,193.9,256.2,7.9,388.2,1.4,1.3,226.4
SL0026,Banana,100g,239,323.9,12.2,23.0,45.3,13.5,14.0,26.9,6.1,1.1,5.5,368.0,206.6,34.2,881.4,7.6,2.3,190.9
SL0027,Chicken Curry,1 cup,224,291.9,11.9,15.6,22.1,13.8,3.7,31.8,1.5,3.4,15.9,589.8,179.1,49.3,523.0,7.9,3.1,136.1
SL0028,Vegetable Paratha,1 piece,86,68.7,28.3,1.4,51.1,0.3,16.1,252.4,0.8,1.7,119.9,416.5,134.0,64.5,99.6,3.6,4.2,120.6
SL0029,Brinjal Curry,100g,91,256.1,9.1,23.6,4.2,13.1,6.7,160.0,5.6,0.5,30.0,293.4,31.9,22.1,668.2,9.7,2.7,96.2
SL0030,Tea Biscuits,100g,113,114.1,2.3,9.7,28.0,13.8,7.6,42.7,4.6,3.6,115.8,214.6,69.8,90.7,791.1,4.9,4.8,119.8
SL0031,Milk Coffee,100g,190,174.7,17.4,11.9,23.6,2.7,17.2,67.7,6.6,3.5,135.2,548.9,111.9,95.5,273.9,7.5,4.7,131.5
SL0032,Whole Wheat Bread,1 piece,68,85.0,22.9,23.9,19.2,2.4,5.3,248.3,3.6,3.6,30.0,128.1,218.6,100.3,226.0,8.6,0.1,46.3
SL0033,Cream Biscuits,100g,91,344.8,11.8,1.5,34.2,11.6,10.1,207.7,5.9,2.2,96.2,506.2,340.0,23.7,69.3,7.8,3.2,260.8
SL0034,Coconut Milk,1 piece,121,257.2,11.8,19.6,28.2,4.0,19.2,246.2,4.8,1.4,84.6,437.1,76.0,77.8,514.2,6.8,0.8,266.2
SL0035,Brown Bread,1 cup,112,81.5,20.2,1.8,15.2,3.0,13.3,275.2,1.8,3.2,47.5,216.5,65.6,19.1,108.6,2.2,4.0,258.3
SL0036,Fresh Milk,1 piece,192,206.9,25.2,3.4,11.9,8.6,8.7,275.3,1.2,3.8,140.6,416.1,38.2,53.7,741.9,6.7,1.4,236.3
SL0037,Grilled Chicken,100g,153,34.4,8.2,23.5,27.3,12.6,14.2,271.9,7.5,4.7,88.8,517.8,39.1,113.5,526.0,3.6,3.6,217.1
SL0038,Low-fat Milk,100g,59,112.9,27.2,5.3,20.4,11.5,15.4,270.2,3.0,1.4,54.5,575.7,306.1,21.1,309.7,2.1,1.9,17.4
SL0039,Fried Fish,1 cup,91,290.7,6.9,11.7,49.8,13.4,4.3,241.7,4.9,3.6,90.4,475.7,190.3,118.4,150.8,2.3,1.5,62.0
SL0040,Egg Hopper,1 cup,217,54.8,26.2,23.4,24.7,9.8,0.1,99.7,6.6,3.6,58.3,225.6,265.3,49.3,336.8,7.5,3.6,101.1
SL0041,Buffalo Curd,100g,128,174.3,27.1,13.5,48.5,5.8,4.5,38.1,6.3,3.8,82.2,352.9,372.5,7.0,790.0,5.7,4.6,162.1
SL0042,Chicken Stir-fry,1 cup,179,344.4,22.6,2.7,17.9,2.5,3.2,83.7,3.9,4.6,52.1,371.0,287.0,27.6,107.1,3.3,2.3,62.0
SL0043,Milk Hopper,1 cup,68,228.9,11.2,12.5,24.6,11.8,10.4,167.6,1.7,0.4,108.3,438.4,367.6,30.1,32.5,6.0,2.6,212.7
SL0044,Cow Milk Curd,1 cup,100,104.0,7.2,13.7,39.7,11.3,13.2,158.0,4.0,4.9,48.0,34.2,5.5,100.5,619.3,2.5,2.3,260.2
SL0045,Chickpea Curry,1 piece,155,56.1,10.5,7.7,48.1,11.9,11.7,197.8,6.9,3.1,140.4,38.0,339.5,99.7,843.1,3.4,4.2,98.1
SL0046,Black Tea,1 cup,166,293.6,2.8,7.3,40.4,4.0,10.2,249.0,7.4,3.0,108.1,355.4,285.1,46.5,425.5,1.8,4.4,20.5
SL0047,Powdered Milk,1 cup,190,265.4,6.4,1.9,5.1,11.4,3.7,40.2,5.6,3.1,139.2,58.9,191.5,105.3,881.1,3.5,0.8,188.8
SL0048,Roasted Chickpeas,1 cup,140,152.2,19.1,6.4,25.4,12.0,18.1,204.6,6.2,2.3,91.5,393.8,356.6,83.7,793.2,6.9,0.6,146.3
SL0049,Green Tea,100g,119,264.2,13.6,21.5,3.6,5.9,7.7,35.3,6.3,1.4,137.4,264.2,330.4,87.8,747.6,5.1,3.5,102.9
SL0050,Basmati Rice,100g,126,145.2,3.0,1.1,36.1,6.3,0.8,275.3,6.6,1.3,14.4,378.8,65.3,67.2,572.7,8.4,3.2,194.6
SL0051,Digestive Biscuits,1 cup,109,56.5,9.1,18.4,11.1,0.2,5.7,124.4,4.8,0.8,59.9,23.0,341.4,100.0,193.2,7.4,1.3,70.4
SL0052,Iced Coffee,100g,218,220.8,20.0,2.5,45.0,9.3,10.1,71.3,4.1,3.7,126.0,119.0,42.6,15.0,209.7,9.0,4.0,61.9
SL0053,Papaya Juice,100g,122,291.6,24.3,24.8,51.1,2.9,7.7,289.5,4.2,3.9,79.0,338.1,21.1,79.4,835.7,8.4,1.0,108.1
SL0054,Espresso,1 piece,135,79.1,20.7,24.9,35.7,2.2,11.9,101.3,7.1,1.6,67.0,319.3,370.3,80.9,451.7,3.9,1.2,124.6
SL0055,Mango,100g,95,270.4,5.8,3.7,41.5,2.2,2.1,270.9,6.6,0.1,38.7,170.1,208.7,28.3,106.2,1.0,2.4,204.4
SL0056,Chicken Samosa,1 piece,143,87.8,28.4,10.9,11.2,7.3,2.8,249.9,0.6,4.9,58.5,124.8,229.4,100.5,375.0,9.4,3.7,88.5
SL0057,Samba Rice,1 cup,84,183.7,11.8,3.2,39.8,9.2,2.0,124.9,0.7,3.9,113.5,377.1,295.7,97.5,820.9,9.3,3.3,29.4
SL0058,Coconut Cream,1 cup,148,320.9,3.3,7.7,43.8,5.5,1.9,213.5,0.4,4.7,53.1,503.1,220.7,6.9,249.6,8.2,3.4,74.7
SL0059,Fish Samosa,100g,207,266.4,6.0,10.3,20.9,14.6,5.8,147.6,2.3,3.0,24.3,284.0,110.9,32.9,216.5,1.4,1.4,283.5
SL0060,Dhal Soup,1 piece,111,117.6,3.3,16.1,56.9,9.5,8.6,102.3,7.4,2.6,69.2,428.8,52.9,51.8,239.2,7.7,0.8,32.7
SL0061,Fruit Yogurt,1 cup,118,74.2,13.5,5.8,41.2,9.0,19.2,113.8,5.9,2.6,28.1,72.0,191.3,112.4,292.1,9.0,4.1,171.9
SL0062,Herbal Tea,100g,119,164.0,5.2,20.2,35.2,10.1,3.7,154.3,3.9,2.1,57.4,358.6,215.4,119.3,466.1,5.5,1.3,242.7
SL0063,Desiccated Coconut,1 piece,63,144.5,22.3,5.2,58.4,1.9,19.7,90.8,7.2,0.4,119.8,470.0,84.1,19.1,185.8,5.3,4.5,299.0
SL0064,Milk Tea,100g,95,341.3,14.5,16.7,8.0,14.7,17.9,284.8,5.1,4.4,38.1,41.0,119.6,22.8,571.6,0.2,0.4,185.2
SL0065,Tempered Dhal,1 piece,75,154.0,2.5,22.6,8.5,11.5,0.3,235.1,6.8,2.4,70.7,111.8,205.8,34.5,760.3,5.0,1.2,12.8
SL0066,Cappuccino,1 cup,51,335.4,26.0,9.3,16.4,1.8,13.3,117.9,6.9,2.3,103.8,561.9,207.5,69.4,304.0,8.4,2.9,187.9
SL0067,Green Gram Curry,1 cup,111,176.0,4.5,9.9,39.4,2.7,5.9,279.9,0.4,3.5,123.6,99.6,324.6,93.3,868.2,5.9,0.1,117.8
SL0068,Mango Juice,100g,71,139.6,2.6,14.4,4.1,2.6,1.3,48.6,3.0,4.3,139.1,299.3,332.7,92.5,791.3,7.6,2.7,185.7
SL0069,Ginger Tea,100g,173,69.9,4.5,15.7,21.6,11.1,12.8,173.8,3.0,4.2,116.4,405.0,199.7,95.9,80.3,2.2,1.8,214.4
SL0070,Green Gram Soup,1 cup,151,246.1,22.4,24.3,30.7,6.8,12.7,148.7,5.6,0.8,69.0,583.1,148.0,92.5,360.8,1.6,0.9,192.2
SL0071,Lemon Tea,1 cup,140,58.2,3.8,21.5,12.0,13.0,4.5,280.0,0.7,3.2,120.5,359.9,61.7,111.8,658.4,6.0,3.5,20.1
SL0072,Kiribath (Milk Rice),1 cup,180,250.0,6.0,10.0,40.0,2.0,4.0,15.0,1.2,0.8,40.0,120.0,300.0,2.0,200.0,1.5,0.4,90.0
SL0073,Pol Roti,1 piece,120,180.0,5.0,8.0,28.0,3.0,2.0,20.0,1.0,0.7,35.0,90.0,220.0,1.0,180.0,1.2,0.3,85.0
SL0074,Kottu Roti,1 plate,350,600.0,25.0,30.0,55.0,5.0,6.0,80.0,3.5,2.0,70.0,400.0,900.0,4.0,250.0,2.5,1.2,140.0
SL0075,Fish Ambul Thiyal,1 cup,200,220.0,28.0,12.0,5.0,1.0,0.0,60.0,2.2,1.1,30.0,300.0,450.0,0.0,90.0,2.0,0.9,60.0
SL0076,Chicken Curry (Sri Lankan),1 cup,220,280.0,26.0,18.0,6.0,1.0,0.0,70.0,2.5,1.5,35.0,320.0,600.0,1.0,110.0,2.3,1.0,70.0
SL0077,Gotukola Sambol,1 cup,90,60.0,4.0,2.0,8.0,4.0,1.0,120.0,2.8,0.9,40.0,280.0,90.0,35.0,350.0,0.8,0.0,110.0
SL0078,Mallung (Leafy Greens),1 cup,80,50.0,3.0,2.0,6.0,4.0,1.0,110.0,2.5,0.8,45.0,260.0,100.0,25.0,300.0,0.7,0.0,95.0
SL0079,Pumpkin Curry (Wattakka),1 cup,160,90.0,2.0,4.0,18.0,3.0,4.0,60.0,1.8,0.6,40.0,240.0,150.0,15.0,400.0,0.6,0.0,60.0
SL0080,Dhal Curry (Parippu),1 cup,200,230.0,12.0,6.0,30.0,8.0,3.0,40.0,3.5,1.3,25.0,120.0,250.0,0.0,0.0,0.8,0.0,80.0
SL0081,String Hoppers (Idiyappam),5 pieces,150,180.0,4.0,2.0,40.0,1.0,1.0,10.0,1.2,0.5,20.0,70.0,150.0,0.0,0.0,0.6,0.0,40.0
SL0082,Mint Tea,1 piece,220,336.0,18.5,28.1,45.0,7.7,0.6,254.9,2.8,0.4,35.0,380.5,778.4,102.2,336.8,1.4,1.2,138.1
SL0083,Cinnamon Tea,1 piece,125,432.0,17.1,3.1,10.0,5.2,10.1,196.7,5.2,3.1,152.3,342.8,543.4,48.9,121.7,0.0,1.8,239.2
SL0084,Iced Tea,100g,80,107.0,9.9,25.0,60.6,8.8,6.6,172.0,6.7,3.7,117.3,139.1,229.5,51.9,444.1,3.0,1.5,199.4
SL0085,Honey Tea,1 piece,115,178.0,20.1,15.0,8.4,1.7,18.7,177.0,1.3,0.7,119.7,70.4,538.8,110.3,115.4,2.0,0.7,44.7
SL0086,Vanilla Ice Cream,100g,199,333.0,18.3,29.5,3.2,6.1,3.3,299.1,5.2,0.3,185.2,52.9,655.0,30.9,58.3,3.7,0.6,79.8
SL0087,Chocolate Ice Cream,100g,109,274.0,22.6,1.6,36.6,7.3,23.8,57.5,3.9,0.3,41.1,318.6,289.7,35.2,288.8,4.4,2.3,146.6
SL0088,Strawberry Ice Cream,1 piece,205,382.0,2.5,22.4,30.5,6.2,14.8,15.3,1.3,3.1,178.5,531.4,237.3,82.3,408.1,2.1,2.3,295.2
SL0089,Mango Ice Cream,100g,197,30.0,23.1,6.4,7.9,1.7,2.6,95.6,4.6,1.8,146.9,468.4,665.2,55.8,683.4,4.6,1.0,174.0
SL0090,Pineapple Ice Cream,1 piece,208,337.0,17.0,26.2,28.6,3.1,6.7,271.0,3.8,2.5,120.6,564.8,13.5,0.1,807.6,2.4,0.8,105.8
SL0091,Faluda Ice Cream,1 piece,85,74.0,5.5,5.3,9.9,1.5,17.6,44.0,3.7,1.4,147.5,521.3,180.1,92.0,455.2,4.4,1.6,140.0
SL0092,Kulfi Ice Cream,1 cup,92,364.0,20.1,29.9,39.6,2.6,18.2,222.3,3.0,3.4,116.1,215.9,863.7,40.0,485.4,0.8,0.8,66.2
SL0093,Coconut Ice Cream,100g,179,289.0,17.9,7.7,44.7,0.9,13.6,215.2,7.9,1.6,128.9,406.8,588.1,24.8,193.9,1.2,0.6,26.7
SL0094,Hot tea (Garam Chai),100g,100,16.14,0.39,0.53,2.58,0.0,2.58,14.2,0.02,2.420738348,127.0708027,419.1641348,3.12,0.5,704.6492871,5.576619913,2.707365068,1.8
SL0095,Instant coffee,100g,100,23.16,0.64,0.75,3.65,0.0,3.62,20.87,0.06,2.107797237,96.96585503,92.37543508,4.92,1.51,895.7,2.112094445,0.440075983,5.6
SL0096,Espreso coffee,100g,100,51.54,1.75,2.14,6.62,0.0,6.53,58.1,0.15,0.903686998,41.61425636,83.58198539,13.98,1.51,354.2890962,3.954924512,4.8,5.53
SL0097,Iced tea,100g,100,10.34,0.03,0.01,2.7,0.0,2.7,1.18,0.02,1.396357551,82.1366742,293.3544991,0.23,5.95,357.9015549,9.9,2.171631967,1.28
SL0098,Raw mango drink (Aam panna),100g,100,35.92,0.16,0.03,9.05,0.61,7.49,7.08,0.14,0.568588666,88.46110867,317.8186052,79.82,45.3,265.6864038,0.613998916,1.465605654,14.05
SL0099,Fruit Punch (with fresh juices),100g,100,36.12,0.14,0.03,9.38,0.06,9.25,5.07,0.1,0.1,77.02191749,208.9125502,2.63,41.44,313.0883895,4.727604287,1.725289781,24.57
SL0100,Fruit Punch (with squashes),100g,100,23.13,0.07,0.02,5.99,0.17,5.88,3.3,0.06,1.270230365,63.50239106,122.2318734,2.26,15.08,93.14604043,5.144959475,2.485821232,9.13
SL0101,Lemonade,100g,100,20.8,0.03,0.01,5.48,0.02,5.47,1.84,0.05,3.820172658,107.449391,342.6313688,28.52,5.27,895.7,0.0,2.347204618,2.11
SL0102,Lem-o-gin,100g,100,21.52,0.08,0.03,5.55,0.13,5.38,2.2,0.09,3.342335465,64.62695948,224.6434567,28.13,5.68,0.0,2.650640654,0.0,2.92
SL0103,Cumin infused water (Jeere/Zeere ka pani),100g,100,9.09,0.17,0.11,1.86,0.46,1.46,10.84,0.32,2.218308338,109.5393033,589.8,189.6,3.61,451.6546089,3.064945807,1.549385977,3.14
SL0104,Coco pine cooler,100g,100,32.75,0.56,1.0,5.72,0.26,5.52,17.81,0.13,1.455726894,37.39049416,216.7937998,23.2,10.67,638.9042561,2.616640111,2.170112666,12.64
SL0105,Summer cooler,100g,100,22.43,0.37,0.04,5.43,0.2,5.21,8.13,0.28,2.053159537,81.23696408,23.0,1.57,103.5,357.2258668,3.467202576,3.632344855,63.89
SL0106,Hot cocoa,100g,100,90.1,3.36,4.56,9.23,0.0,9.01,113.66,0.31,2.144121975,50.0178073,589.8,24.2,3.62,747.6150927,0.602661885,1.395713233,13.79
SL0107,Cold coffee with ice cream,100g,100,67.85,1.57,2.11,11.24,0.01,11.18,53.29,0.12,2.111254646,92.40212852,148.9246731,13.84,2.53,0.0,1.961670332,4.8,9.49
SL0108,Banana milkshake (Kele milkshake),100g,100,65.31,1.84,2.37,9.15,0.26,7.96,62.64,0.13,1.945570437,79.84628521,171.530114,13.61,6.84,301.589898,4.293027992,2.532319475,19.83
SL0109,Mango milkshake (Aam milkshake),100g,100,56.9,1.73,2.35,7.23,0.26,7.15,62.33,0.15,2.695857764,5.5,362.0858191,13.27,20.1,245.947389,3.51541446,2.750458258,53.68
SL0110,Pineapple milkshake (Ananas milkshake),100g,100,55.72,1.66,2.23,7.62,0.0,7.6,59.92,0.11,2.736948473,86.14239535,349.1805809,14.05,10.22,294.3673092,7.37478491,1.652684506,17.45
SL0111,Orange milkshake (Narangi milkshake),100g,100,57.42,1.86,2.52,7.11,0.0,7.08,67.42,0.11,3.678804953,5.5,430.6399524,14.63,10.82,401.0298736,5.260493852,3.680735254,16.85
SL0112,Egg nog,100g,100,97.14,4.78,5.11,8.15,0.02,8.06,102.13,0.43,1.207912135,84.26589043,421.9799839,40.65,4.82,386.6139592,4.680222387,0.0,41.91
SL0113,Sweet Lassi (Meethi lassi),100g,100,35.66,1.29,0.68,6.51,0.0,6.51,45.65,0.03,3.560257955,82.12418356,23.0,18.31,1.0,369.4931266,7.695683187,3.38164456,18.0
SL0114,Lassi (salted),100g,100,18.84,1.35,0.72,1.86,0.02,1.84,47.78,0.04,4.826025341,73.49664393,335.4794969,65.4,1.02,758.6326536,2.291826404,0.78393287,18.07
SL0115,Cheese and chilli sandwich,100g,100,218.11,6.8,9.78,27.4,2.08,2.38,113.79,0.99,2.957366151,131.5323995,332.9806365,437.5,12.3,139.8355218,0.339153799,2.549344682,16.14
SL0116,Egg sandwich (Ande ka sandwich),100g,100,285.96,8.69,15.8,29.16,1.88,1.86,110.13,1.44,1.679729751,49.41467876,370.2401547,461.67,0.0,165.5261396,1.779370425,3.982859763,14.92
SL0117,Cucumber sandwich (Kheere ka sandwich),100g,100,188.6,4.8,8.0,25.77,2.45,1.64,87.84,1.02,0.1,87.02673343,309.8566736,362.64,1.53,600.8300439,6.30133025,1.52323301,12.96
SL0118,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),100g,100,257.71,8.2,12.8,29.1,2.33,4.1,199.73,1.04,1.198528118,71.05398162,138.4420796,571.96,3.64,347.5724797,0.0,1.407414276,12.08
SL0119,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),100g,100,243.32,7.92,12.27,26.92,1.97,2.85,191.2,1.0,2.385803504,31.70032111,188.6145238,549.71,3.16,313.0658408,1.498962233,2.609281689,12.18
SL0120,Chicken sandwich,100g,100,253.27,13.12,11.75,25.38,1.64,1.6,89.56,1.19,3.09052301,63.73729168,309.6379144,389.67,0.0,613.2080832,0.0,1.61475654,11.1
SL0121,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),100g,100,291.43,9.53,16.14,28.54,4.03,2.82,94.03,1.58,4.722387638,63.17090667,51.51290997,364.99,3.16,589.0694863,4.947721105,4.8,22.04
SL0122,Rainbow sandwich,100g,100,272.75,7.75,12.54,34.26,2.1,4.05,172.04,1.2,1.323300326,124.8076789,558.3208233,612.49,1.01,282.1232477,6.069262551,2.676949043,10.38
SL0123,Club sandwich,100g,100,235.32,7.31,15.12,18.51,1.81,2.01,115.68,0.86,3.958546756,50.30065024,428.8087797,461.66,6.0,514.7490841,0.075425765,3.782771101,17.42
SL0124,Vegetarian club sandwich,100g,100,198.33,5.45,11.33,19.68,2.06,2.08,122.44,0.77,1.426242652,12.21088781,416.6455487,305.36,6.0,285.9608603,4.574814535,2.947585943,17.53
SL0125,Pin wheel sandwich,100g,100,311.52,8.77,24.93,14.0,0.93,1.45,67.75,1.36,1.869593666,99.9679226,468.8230349,374.39,0.0,539.1343615,5.364269534,1.748399296,9.04
SL0126,Carrot apple sandwich (Gajar aur seb ka sandwich),100g,100,214.11,5.3,9.12,29.04,3.66,5.3,118.05,1.8,4.299594897,100.3133491,171.5511599,302.88,2.7,895.7,2.295546151,3.025058708,21.7
SL0127,Salami sandwich,100g,100,255.59,8.7,15.51,21.54,1.97,2.0,73.54,1.11,2.493069274,90.40817027,225.1451437,662.75,1.25,842.0200242,4.696684988,4.369165762,12.65
SL0128,Vegetable and mayonnaise sandwich,100g,100,244.26,4.47,15.4,23.2,2.35,2.35,79.53,0.91,0.701473483,86.28663666,322.9218076,342.7,12.9,363.4234761,5.850128597,1.275541254,17.05
SL0129,Egg and tomato sandwich (Ande aur tamatar ka sandwich),100g,100,222.11,7.66,10.51,25.9,1.77,2.09,95.71,1.3,1.585071381,26.16462568,129.38943,423.26,1.98,347.512245,5.814041297,3.804238046,16.33
SL0130,Sweet open sandwich,100g,100,244.25,4.99,8.15,39.24,2.36,12.23,85.18,1.15,1.388785841,108.9089157,172.1432938,205.27,1.65,646.5848581,0.0,1.36077206,13.05
SL0131,Mushroom and cheese sandwich (toasted),100g,100,227.42,7.79,13.01,21.01,2.28,2.11,172.35,0.84,1.225801757,89.65582522,396.2173499,456.57,0.0,354.7418652,0.0,2.977504195,12.7
SL0132,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),100g,100,224.58,6.82,12.95,21.42,1.78,2.67,169.22,0.82,2.079877036,105.1172674,445.2354184,457.94,6.32,326.021518,7.192217375,1.341500628,14.48
SL0133,Pea potato sandwich (toasted) (Matar aloo ka sandwich),100g,100,164.9,4.6,5.43,25.17,2.89,1.33,64.15,1.11,3.204907239,57.67921781,274.4427755,262.63,14.11,504.7283235,0.0,3.414798136,21.01
SL0134,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),100g,100,249.56,12.4,11.98,24.05,2.12,6.4,274.1,1.26,1.854581769,55.7192095,318.1502438,268.9,4.85,230.7467062,4.906747587,0.325959295,52.13
SL0135,Chicken sandwich (toasted),100g,100,167.37,12.08,5.32,18.82,1.64,2.13,99.99,0.99,1.412354496,26.61923477,116.6734809,327.55,12.97,751.2373326,2.644359256,0.0,20.71
SL0136,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),100g,100,171.78,11.06,5.61,20.26,2.45,1.94,70.79,1.51,0.237043626,47.56907005,264.6995339,290.07,5.5,717.2216318,4.819154189,0.936756947,18.29
SL0137,Classic club sandwich,100g,100,200.83,6.74,11.56,18.49,1.62,1.86,107.73,1.09,1.976551632,72.18719273,342.1798402,277.49,16.19,727.7947523,0.875581175,1.922118402,56.9
SL0138,Sesame toast,100g,100,495.19,1.9,49.38,11.15,1.32,1.46,43.44,0.72,3.007810778,70.60763805,182.8049148,128.78,6.92,145.4214375,4.251870777,1.219764675,8.87
SL0139,Cracked wheat porridge (Meetha daliya),100g,100,81.57,2.64,4.08,8.87,0.62,5.12,75.88,0.32,1.115409055,135.2125268,23.0,15.89,5.03,144.0460319,8.424318849,0.449083418,17.58
SL0140,Semolina porridge (Suji/Rava daliya),100g,100,100.89,3.75,4.08,12.39,0.7,7.54,108.52,0.36,2.130242327,81.1367199,162.7406427,23.21,5.03,0.0,1.122432313,3.770754202,22.71
SL0141,Oatmeal Porridge,100g,100,72.85,2.6,3.22,8.77,0.39,5.2,76.83,0.28,4.9,97.22065333,571.7706916,16.14,5.03,894.030819,0.0,3.180344818,23.98
SL0142,Cornflakes with milk,100g,100,117.33,3.59,5.12,14.95,0.78,9.97,106.47,0.42,1.284812307,140.7676776,479.2700572,26.55,4.82,132.9837008,0.993589451,1.268600034,43.87
SL0143,Rice flakes (Chiwda/Aval),100g,100,112.44,3.62,3.99,15.57,0.37,7.28,103.15,0.62,3.685809061,124.9705487,495.8369491,22.4,4.82,686.1155643,9.9,1.313778411,19.41
SL0144,Wheat flakes,100g,100,112.44,3.62,3.99,15.57,0.37,7.28,103.15,0.62,0.1,178.4810204,323.0425932,22.4,4.82,99.19372053,7.413476608,1.932586309,19.41
SL0145,Murmura (Puffed rice),100g,100,113.32,3.62,4.04,15.67,0.28,7.31,103.79,0.63,2.239985403,185.2,426.7908629,22.52,4.82,285.9796099,9.039328963,3.200883853,16.87
SL0146,Puffed wheat (Murmure/Moori),100g,100,113.32,3.62,4.04,15.67,0.28,7.31,103.79,0.63,1.367013486,72.12663578,444.3913016,22.52,4.82,232.1010239,4.62316506,3.77787086,16.87
